,Entity,Code,per_cap_person_day
0,Albania,ALB,0.069
1,Algeria,DZA,0.144
2,Angola,AGO,0.062
3,Anguilla,AIA,0.252
4,Antigua and Barbuda,ATG,0.66
5,Argentina,ARG,0.183
6,Aruba,ABW,0.252
7,Australia,AUS,0.112
8,Bahamas,BHS,0.39
9,Bahrain,BHR,0.132
10,Bangladesh,BGD,0.034
11,Barbados,BRB,0.57
12,Belgium,BEL,0.08
13,Belize,BLZ,0.172
14,Benin,BEN,0.043
15,Bermuda,BMU,0.252
16,Bosnia and Herzegovina,BIH,0.144
17,Brazil,BRA,0.165
18,British Virgin Islands,VGB,0.252
19,Brunei,BRN,0.026
20,Bulgaria,BGR,0.154
21,Cambodia,KHM,0.066
22,Cameroon,CMR,0.046
23,Canada,CAN,0.093
24,Cape Verde,CPV,0.065
25,Cayman Islands,CYM,0.252
26,Channel Islands,OWID_CIS,0.252
27,Chile,CHL,0.119
28,China,CHN,0.121
29,Christmas Island,CXR,0.252
30,Cocos Islands,CCK,0.252
31,Colombia,COL,0.144
32,Comoros,COM,0.201
33,Congo,COG,0.069
34,Cook Islands,COK,0.144
35,Costa Rica,CRI,0.258
36,Cote d'Ivoire,CIV,0.103
37,Croatia,HRV,0.252
38,Cuba,CUB,0.089
39,Curacao,CUW,0.252
40,Cyprus,CYP,0.248
41,Democratic Republic of Congo,COD,0.045
42,Denmark,DNK,0.047
43,Djibouti,DJI,0.103
44,Dominica,DMA,0.149
45,Dominican Republic,DOM,0.144
46,Ecuador,ECU,0.147
47,Egypt,EGY,0.178
48,El Salvador,SLV,0.147
49,Equatorial Guinea,GNQ,0.144
50,Eritrea,ERI,0.045
51,Estonia,EST,0.176
52,Faeroe Islands,FRO,0.252
53,Falkland Islands,FLK,0.252
54,Fiji,FJI,0.189
55,Finland,FIN,0.234
56,France,FRA,0.192
57,French Guiana,GUF,0.144
58,French Polynesia,PYF,0.252
59,Gabon,GAB,0.054
60,Gambia,GMB,0.048
61,Georgia,GEO,0.068
62,Germany,DEU,0.485
63,Ghana,GHA,0.04
64,Gibraltar,GIB,0.252
65,Greece,GRC,0.2
66,Greenland,GRL,0.252
67,Grenada,GRD,0.325
68,Guadeloupe,GLP,0.144
69,Guam,GUM,0.252
70,Guatemala,GTM,0.28
71,Guernsey,GGY,0.252
72,Guinea,GIN,0.03
73,Guinea-Bissau,GNB,0.054
74,Guyana,GUY,0.586
75,Haiti,HTI,0.09
76,Honduras,HND,0.189
77,Hong Kong,HKG,0.398
78,Iceland,ISL,0.281
79,India,IND,0.01
80,Indonesia,IDN,0.057
81,Iran,IRN,0.144
82,Iraq,IRQ,0.103
83,Ireland,IRL,0.43
84,Israel,ISR,0.297
85,Italy,ITA,0.134
86,Jamaica,JAM,0.034
87,Japan,JPN,0.171
88,Jordan,JOR,0.144
89,Kenya,KEN,0.027
90,Kiribati,KIR,0.103
91,Kuwait,KWT,0.686
92,Latvia,LVA,0.124
93,Lebanon,LBN,0.094
94,Liberia,LBR,0.084
95,Libya,LBY,0.144
96,Lithuania,LTU,0.132
97,Macao,MAC,0.368
98,Madagascar,MDG,0.016
99,Malaysia,MYS,0.198
100,Maldives,MDV,0.322
101,Malta,MLT,0.214
102,Marshall Islands,MHL,0.192
103,Martinique,MTQ,0.252
104,Mauritania,MRT,0.045
105,Mauritius,MUS,0.23
106,Mexico,MEX,0.087
107,Micronesia (country),FSM,0.103
108,Monaco,MCO,0.252
109,Montenegro,MNE,0.144
110,Montserrat,MSR,0.144
111,Morocco,MAR,0.073
112,Mozambique,MOZ,0.015
113,Myanmar,MMR,0.075
114,Namibia,NAM,0.144
115,Nauru,NRU,0.144
116,Netherlands,NLD,0.424
117,Netherlands Antilles,ANT,0.252
118,New Caledonia,NCL,0.252
119,New Zealand,NZL,0.331
120,Nicaragua,NIC,0.143
121,Nigeria,NGA,0.103
122,Niue,NIU,0.252
123,Norfolk Island,NFK,0.103
124,North Korea,PRK,0.054
125,Northern Mariana Islands,MNP,0.252
126,Norway,NOR,0.28
127,Oman,OMN,0.084
128,Pakistan,PAK,0.103
129,Palau,PLW,0.144
130,Palestine,PSE,0.063
131,Panama,PAN,0.145
